	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)
VARIABLES	Conflict Lcs_em_FemAnimal	Price Lcs_stress_DomAsset	Price Lcs_stress_Saving	Price Lcs_stress_EatOut	Price Lcs_stress_BorrowCash	Price Lcs_stress_BorrowFood	Price Lcs_stress_MoreLabour	Price Lcs_stress_Animals	Price Lcs_crisis_ProdAssets	Price Lcs_crisis_Edu_Health	Price Lcs_crisis_OutSchool	Price Lcs_em_ResAsset	Price Lcs_em_Begged	Price Lcs_em_IllegalAct	Price Lcs_em_FemAnimal	Seasonal Lcs_stress_DomAsset	Seasonal Lcs_stress_Saving	Seasonal Lcs_stress_EatOut	Seasonal Lcs_stress_BorrowCash	Seasonal Lcs_stress_BorrowFood	Seasonal Lcs_stress_MoreLabour	Seasonal Lcs_stress_Animals	Seasonal Lcs_crisis_ProdAssets	Seasonal Lcs_crisis_Edu_Health	Seasonal Lcs_crisis_OutSchool	Seasonal Lcs_em_ResAsset	Seasonal Lcs_em_Begged	Seasonal Lcs_em_IllegalAct	Seasonal Lcs_em_FemAnimal	Climate Lcs_stress_DomAsset	Climate Lcs_stress_Saving	Climate Lcs_stress_EatOut	Climate Lcs_stress_BorrowCash	Climate Lcs_stress_BorrowFood	Climate Lcs_stress_MoreLabour	Climate Lcs_stress_Animals	Climate Lcs_crisis_ProdAssets	Climate Lcs_crisis_Edu_Health	Climate Lcs_crisis_OutSchool	Climate Lcs_em_ResAsset	Climate Lcs_em_Begged	Climate Lcs_em_IllegalAct	Climate Lcs_em_FemAnimal	Combined Lcs_stress_DomAsset	Combined Lcs_stress_Saving	Combined Lcs_stress_EatOut	Combined Lcs_stress_BorrowCash	Combined Lcs_stress_BorrowFood	Combined Lcs_stress_MoreLabour	Combined Lcs_stress_Animals	Combined Lcs_crisis_ProdAssets	Combined Lcs_crisis_Edu_Health	Combined Lcs_crisis_OutSchool	Combined Lcs_em_ResAsset	Combined Lcs_em_Begged	Combined Lcs_em_IllegalAct	Combined Lcs_em_FemAnimal	Food Security FCS	Food Security HDDS	Food Security HHS	Food Security CARI
																																																													
																(0.112)	(0.0857)	(0.106)	(0.0702)	(0.0808)	(0.0832)	(0.0975)	(0.119)	(0.0851)	(0.136)	(0.149)	(0.133)	(0.240)	(0.0986)															(0.201)	(0.154)	(0.365)	(0.134)	(0.220)	(0.224)	(0.183)	(0.228)	(0.154)	(0.223)	(0.231)	(0.222)	(0.729)	(0.194)				
cdi_evapotranspiration																-0.249***	-0.0203	0.289**	-0.157***	0.468***	-0.137	-0.476***	-0.395***	-0.322***	-0.444***	-0.445***	0.0766	0.0596	-0.375***															-0.245*	-0.00488	0.390	-0.184**	-0.680***	-1.041***	-0.521***	-0.523***	-0.370***	-0.598***	-0.0236	0.540***	-0.295	-0.127				
																(0.0828)	(0.0671)	(0.136)	(0.0545)	(0.0859)	(0.0882)	(0.0744)	(0.0904)	(0.0683)	(0.0898)	(0.0946)	(0.0920)	(0.202)	(0.0788)															(0.131)	(0.106)	(0.341)	(0.0929)	(0.224)	(0.199)	(0.124)	(0.185)	(0.108)	(0.179)	(0.208)	(0.186)	(0.549)	(0.180)				
R_drought																														-0.00842***	-0.00205***	-0.00400**	-0.0139***	-0.0225***	-0.0128***	-0.00688***	-0.00513***	-0.00716***	-0.000469	-0.00227	-0.000526	-0.00791***	-0.00498***	-0.0150***	-0.00684***	-0.0127***	-0.0169***	-0.0286***	-0.0218***	-0.0113***	-0.0118***	-0.0137***	-0.00746***	-0.0124***	-0.00872***	-0.0191***	-0.0111***				
																														(0.00116)	(0.000730)	(0.00164)	(0.000673)	(0.00101)	(0.000784)	(0.00102)	(0.00130)	(0.000831)	(0.00140)	(0.00173)	(0.00122)	(0.00214)	(0.00122)	(0.00152)	(0.000964)	(0.00256)	(0.000867)	(0.00160)	(0.00130)	(0.00126)	(0.00174)	(0.00111)	(0.00191)	(0.00223)	(0.00149)	(0.00380)	(0.00155)				
R_flood																														0.0900***	0.0867***	0.0905***	0.0814***	0.0657***	0.0448***	0.0860***	0.102***	0.0922***	0.103***	0.108***	0.0975***	0.0311***	0.0958***	0.0793***	0.0810***	0.0727***	0.0494***	0.0682***	0.0692***	0.0380***	0.0815***	0.0653***	0.0626***	0.0606***	0.00780	0.0932***	0.0444***				
																														(0.00606)	(0.00441)	(0.00861)	(0.00375)	(0.00578)	(0.00484)	(0.00514)	(0.00702)	(0.00443)	(0.00756)	(0.00893)	(0.00640)	(0.00987)	(0.00663)	(0.0100)	(0.00893)	(0.0162)	(0.00637)	(0.0103)	(0.00911)	(0.00890)	(0.0109)	(0.00755)	(0.0132)	(0.0164)	(0.0116)	(0.0157)	(0.0120)				
R_heat																														0.00936***	0.00613***	0.0103***	0.0104***	0.0175***	0.0158***	0.00683***	0.00725***	0.0108***	0.00729***	0.00483***	0.00769***	0.00836***	0.00691***	0.0192***	0.0129***	0.0204***	0.0129***	0.0255***	0.0307***	0.00849***	0.0153***	0.0169***	0.0160***	0.0202***	0.0169***	0.0315***	0.0140***				
																														(0.000965)	(0.000750)	(0.00116)	(0.000607)	(0.000892)	(0.000884)	(0.000805)	(0.00108)	(0.000746)	(0.00125)	(0.00130)	(0.00106)	(0.00231)	(0.000939)	(0.00173)	(0.00119)	(0.00235)	(0.000982)	(0.00164)	(0.00147)	(0.00139)	(0.00177)	(0.00120)	(0.00225)	(0.00229)	(0.00167)	(0.00398)	(0.00180)				
Lcs_stress_DomAsset																																																										0.660*	0.340	0.546*	0.274
																																																										(0.374)	(0.213)	(0.293)	(0.203)
Lcs_stress_Saving																																																										0.124	0.263***	0.501***	0.0451
																																																										(0.124)	(0.0877)	(0.0864)	(0.0758)
Lcs_stress_EatOut																																																										-0.384**	-0.391***	-0.327*	-0.284**
																																																										(0.170)	(0.132)	(0.189)	(0.133)
Lcs_stress_BorrowCash																																																										0.122	0.172***	-0.493***	0.0311
																																																										(0.160)	(0.0661)	(0.0738)	(0.0868)
Lcs_stress_BorrowFood																																																										0.231	-0.157*	-0.742***	0.0586
																																																										(0.141)	(0.0813)	(0.0807)	(0.0854)
Lcs_stress_MoreLabour																																																										0.0952	0.0573	-0.572***	-0.136
																																																										(0.129)	(0.0807)	(0.0891)	(0.0830)
Lcs_stress_Animals																																																										-0.0956	-0.0809	-0.461***	-0.0474
																																																										(0.184)	(0.136)	(0.125)	(0.136)
Lcs_crisis_ProdAssets																																																										-0.525	0.233	-0.0938	-0.466*
																																																										(0.440)	(0.212)	(0.361)	(0.257)
Lcs_crisis_Edu_Health																																																										-0.107	-0.0682	0.0665	-0.0929
																																																										(0.151)	(0.109)	(0.136)	(0.107)
Lcs_crisis_OutSchool																																																										-0.770**	-0.203	0.252	-0.252
																																																										(0.304)	(0.196)	(0.346)	(0.257)
Lcs_em_ResAsset																																																										-0.173	-0.184	-0.241	-0.624***
																																																										(0.197)	(0.164)	(0.261)	(0.158)
Lcs_em_Begged																																																										-0.211	-0.0789	-0.342*	-0.728***
																																																										(0.139)	(0.129)	(0.189)	(0.125)
Lcs_em_IllegalAct																																																										-0.0852	-0.349	0.155	0.641*
																																																										(0.340)	(0.234)	(0.316)	(0.357)
Lcs_em_FemAnimal																																																										0.278	0.0956	0.322**	-0.808***
																																																										(0.209)	(0.114)	(0.149)	(0.101)
Constant	-1.642***	-1.621***	-0.643***	-1.342***	-0.498***	-0.764***	-1.021***	-1.320***	-1.498***	-1.056***	-1.815***	-1.834***	-1.530***	-2.128***	-1.289***	-1.124***	-0.809***	-1.892***	-0.993***	-1.369***	-1.474***	-0.904***	-1.175***	-1.082***	-1.569***	-1.494***	-1.182***	-2.201***	-1.353***	-11.88***	-11.15***	-12.39***	-9.282***	-7.159***	-6.033***	-11.03***	-13.52***	-11.92***	-14.31***	-14.52***	-13.57***	-5.635***	-12.53***	-11.13***	-11.02***	-10.57***	-5.904***	-7.499***	-9.259***	-5.271***	-11.23***	-9.163***	-10.56***	-10.22***	-3.889***	-14.53***	-7.129***	0.995***	0.861***	1.740***	0.657***
	(0.0570)	(0.0686)	(0.0614)	(0.0959)	(0.0411)	(0.0650)	(0.0833)	(0.0609)	(0.0716)	(0.0573)	(0.0749)	(0.0783)	(0.0835)	(0.179)	(0.0696)	(0.0713)	(0.0675)	(0.135)	(0.0507)	(0.0858)	(0.0942)	(0.0688)	(0.0872)	(0.0653)	(0.101)	(0.111)	(0.0878)	(0.232)	(0.0833)	(0.860)	(0.597)	(1.204)	(0.519)	(0.808)	(0.656)	(0.715)	(0.987)	(0.610)	(1.023)	(1.235)	(0.865)	(1.375)	(0.926)	(1.333)	(1.122)	(2.147)	(0.820)	(1.363)	(1.172)	(1.134)	(1.454)	(0.990)	(1.743)	(2.131)	(1.456)	(2.137)	(1.568)	(0.124)	(0.109)	(0.110)	(0.104)
																																																													
Observations	53,408	41,274	23,687	19,716	40,978	19,989	20,172	31,553	39,443	41,617	36,846	31,656	35,822	18,549	31,232	65,092	39,573	32,944	65,926	33,787	34,053	54,511	61,924	66,610	57,073	51,616	58,229	30,669	53,408	65,092	39,573	32,944	65,926	33,787	34,053	54,511	61,924	66,610	57,073	51,616	58,229	30,669	53,408	41,274	23,687	19,716	40,978	19,989	20,172	31,553	39,443	41,617	36,846	31,656	35,822	18,549	31,232	9,020	9,020	9,020	9,020
Standard errors in parentheses																																																													
*** p<0.01, ** p<0.05, * p<0.1																																																													
