
="",="(0.0639)"

="_cons",="-2.089***"
="",="(0.0874)"

="N",="30669"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_em_FemAnimal"

="Lcs_em_FemAnimal",=""
="shock_4",="-0.351***"
="",="(0.0588)"

="shock_5",="-0.354***"
="",="(0.0267)"

="shock_6",="-0.358***"
="",="(0.0397)"

="shock_7",="-0.333***"
="",="(0.0248)"

="education_head",="0.132***"
="",="(0.0177)"

="marital_head",="-0.166***"
="",="(0.0434)"

="sex_head",="-0.252***"
="",="(0.0431)"

="area",="-0.240***"
="",="(0.0274)"

="_cons",="-1.052***"
="",="(0.0323)"

="N",="53408"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
